Name,link
臺北市私立滬江高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E6%BB%AC%E6%B1%9F%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立開平餐飲職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E9%96%8B%E5%B9%B3%E9%A4%90%E9%A3%B2%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市私立東方高級工商職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E6%9D%B1%E6%96%B9%E9%AB%98%E7%B4%9A%E5%B7%A5%E5%95%86%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市私立喬治高級工商職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%96%AC%E6%B2%BB%E9%AB%98%E7%B4%9A%E5%B7%A5%E5%95%86%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市立士林高級商業職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A3%AB%E6%9E%97%E9%AB%98%E7%B4%9A%E5%95%86%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市立陽明高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E9%99%BD%E6%98%8E%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立百齡高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E7%99%BE%E9%BD%A1%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立中正高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E4%B8%AD%E6%AD%A3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立復興高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%BE%A9%E8%88%88%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立薇閣高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E8%96%87%E9%96%A3%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立華興高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E8%8F%AF%E8%88%88%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立幼華高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%B9%BC%E8%8F%AF%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
